TIPO_VIA;SINONIMO;DESCRIPCION;COMENTARIO
CZADA;CZADA;CALZADA;
CZADS;CZADS;CALZADAS;
DEMAR;DEMAR;DEMARCACIO;
DRERA;DRERA;DRECERA;
EIRAD;EIRAD;EIRADO;
ENFST;ENFST;ENFESTA;
ENTD;ENTD;ENTRADA;
EPTZA;EPTZA;ENPARANTZA;
EPTZA;PL;ENPARANTZA;
EPTZA;PLAZA;ENPARANTZA;
EPTZA;PLZ;ENPARANTZA;
ERREB;ARRAL;ERREBAL;
ERREB;ERREB;ERREBAL;
ERREB;RABAL;ERREBAL;
ERREB;RAVAL;ERREBAL;
ERREK;ARRY;ERREKA;
ERREK;ERREK;ERREKA;
ERREK;RIERA;ERREKA;
ERREP;CTRA;ERREPIDE;
ERREP;ERREP;ERREPIDE;
ERRIB;ERRIB;ERRIBERA;
ERRIB;VEGA;ERRIBERA;
ESC;ESC;ESCALA;
ESCA;ESCA;ESCALERA;
ESCAL;ESCAL;ESCALINATA;
ESCU;ESCU;ESCULLERA;
ESLDA;ESLDA;ESPALDA;
ESTAC;ESTAC;ESTACION CERCANIAS;
ESTDA;ESTDA;ESTRADA;
ETDEA;AV;ETORBIDE;
ETDEA;AVDA;ETORBIDE;
ETDEA;AVGDA;ETORBIDE;
ETDEA;ETDEA;ETORBIDE;
ETDEA;HIRIB;ETORBIDE;
ETXAD;ETXAD;ETXADI;
ETXAD;GRUP;ETXADI;
ETXAD;GRUPO;ETXADI;
ETXAD;TALDE;ETXADI;
ETXAR;CLLON;ETXARTE;
ETXAR;ETXAR;ETXARTE;
ETXAT;ETXAT;ETXATZE;
ETXAT;TRAS;ETXATZE;
EXPLA;EXPLA;EXPLANADA;
EXTRM;EXTRM;EXTRAMUROS;
EXTRR;EXTRR;EXTRARRADIO;
FABR;FABR;FABRICA;
FALDA;FALDA;FALDA;
FINCA;FINCA;FINCA;
G.V.;G.V.;GRAN VIA;
GAIN;ALTO;GAIN;
GAIN;GAIN;GAIN;
GALE;GALE;GALERIA;
GJA;GJA;GRANJA;
GORAB;GORAB;GORABIDE;
GORAB;PJDA;GORABIDE;
GORAB;SBIDA;GORABIDE;
GRUP;ETXAD;GRUPO;
GRUP;GRUP;GRUPO;
GRUP;GRUPO;GRUPO;
GRUP;TALDE;GRUPO;
GRUPO;ETXAD;GRUPO;
GRUPO;GRUP;GRUPO;
GRUPO;GRUPO;GRUPO;
GRUPO;TALDE;GRUPO;
GTA;BIDEB;GLORIETA;
GTA;GTA;GLORIETA;
GUNEA;ALD;GUNEA;
GUNEA;GUNEA;GUNEA;
GUNEA;ZONA;GUNEA;
HEGI;HEGI;HEGI;
HIRIB;AV;HIRIBIDE;
HIRIB;AVDA;HIRIBIDE;
HIRIB;AVGDA;HIRIBIDE;
HIRIB;ETDEA;HIRIBIDE;
HIRIB;HIRIB;HIRIBIDE;
HONDA;HONDA;HONDARTZA;
HONDA;PLAYA;HONDARTZA;
HONDA;PRAIA;HONDARTZA;
HONDA;PTJA;HONDARTZA;
HOYA;HOYA;HOYA;
IBILB;IBILB;IBILBIDE;
IBILB;PASEA;IBILBIDE;
IBILB;PASEO;IBILBIDE;
